conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,cleaned_text
1875536339543978425,Sat Jan 04 14:45:57 +0000 2025,0,@JTrisha_JKT48 Namanya juga nenek sayang cucu itu dik,1875554263000346740,,JTrisha_JKT48,in,,0,0,0,https://x.com/R_ots92/status/1875554263000346740,1484367938606223362,R_ots92,Namanya juga nenek sayang cucu itu dik
1875553814205624358,Sat Jan 04 14:45:52 +0000 2025,0,@Levi_JKT48 ga ngerti lagi,1875554242305626408,,Levi_JKT48,in,herㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ,0,0,0,https://x.com/k3eenv/status/1875554242305626408,1680609854833192960,k3eenv,ga ngerti lagi
1875553814205624358,Sat Jan 04 14:45:50 +0000 2025,0,@Levi_JKT48 ditunggu sound nya,1875554233434669374,,Levi_JKT48,in,,0,0,0,https://x.com/dinoconian/status/1875554233434669374,1255375143465111553,dinoconian,ditunggu sound nya
1875553814205624358,Sat Jan 04 14:45:48 +0000 2025,0,@Levi_JKT48 aku yang jadi jangkriknya ya,1875554228946764097,,Levi_JKT48,in,"Kota Surabaya, Jawa Timur",0,0,0,https://x.com/dmngreenapple16/status/1875554228946764097,1671529130687332355,dmngreenapple16,aku yang jadi jangkriknya ya
1875529654062501984,Sat Jan 04 14:45:48 +0000 2025,0,@Nala_JKT48 T2 - lelaki cadangan,1875554225448743226,,Nala_JKT48,in,digidaw,0,0,0,https://x.com/ngebagss/status/1875554225448743226,1689513881029562368,ngebagss,T2 lelaki cadangan
1875553814205624358,Sat Jan 04 14:45:45 +0000 2025,0,@Levi_JKT48 serahhh ahhh,1875554215013314596,,Levi_JKT48,in,,0,0,0,https://x.com/apaeppo/status/1875554215013314596,1786045214769152000,apaeppo,serahhh ahhh
1875553687885791571,Sat Jan 04 14:45:45 +0000 2025,0,@adorezaheera @Nala_JKT48 @Nalania_ID Lagu apaan dah,1875554214421918099,,adorezaheera,in,"Pacitan, Indonesia",0,0,0,https://x.com/UIxrestu/status/1875554214421918099,1799482726036422656,UIxrestu,Lagu apaan dah
1875519433747394750,Sat Jan 04 14:45:44 +0000 2025,0,@Greesel_JKT48 Tetap ini icel fav aku https://t.co/xqimgzvP7C,1875554208252113278,https://pbs.twimg.com/media/GgdOnPdakAEKmgy.jpg,Greesel_JKT48,in,"Jakarta Capital Region, Indone",0,0,0,https://x.com/ahmadriiifqy/status/1875554208252113278,1253644912375083011,ahmadriiifqy,Tetap ini icel fav aku
1875553814205624358,Sat Jan 04 14:45:43 +0000 2025,0,@Levi_JKT48 Simpan saja idemu itu,1875554206712734206,,Levi_JKT48,in,"Bandung, Jawa Barat",0,0,0,https://x.com/yuda_Yaudahz/status/1875554206712734206,1699405464461885440,yuda_Yaudahz,Simpan saja idemu itu
1875509349164183770,Sat Jan 04 14:45:42 +0000 2025,0,@CErine_JKT48 @AR_LanaJKT48 @Nachia_JKT48 @Levi_JKT48 nitip kak udh like komen subskrep,1875554201482490036,,CErine_JKT48,in,she/her,0,0,0,https://x.com/rxbpink/status/1875554201482490036,760974684,rxbpink,nitip kak udh like komen subskrep
1875554198231917019,Sat Jan 04 14:45:41 +0000 2025,0,Aku sangat JKT48 coded kah ,1875554198231917019,,,in,.. ,0,0,0,https://x.com/TimeOfLiz/status/1875554198231917019,2651164657,TimeOfLiz,Aku sangat JKT48 coded kah
1875553814205624358,Sat Jan 04 14:45:34 +0000 2025,0,@Levi_JKT48 iya dah,1875554168741790206,,Levi_JKT48,in,,0,0,0,https://x.com/hfdznrhdyt/status/1875554168741790206,1680144133409882112,hfdznrhdyt,iya dah
1875553814205624358,Sat Jan 04 14:45:33 +0000 2025,0,@Levi_JKT48 ternyata kentangnya ketinggalan,1875554165633773783,,Levi_JKT48,in,"Manchester, England",0,0,0,https://x.com/gusszst/status/1875554165633773783,1324860449280544768,gusszst,ternyata kentangnya ketinggalan
1875553814205624358,Sat Jan 04 14:45:33 +0000 2025,0,@Levi_JKT48 kaga usah dahhhh,1875554163637285084,,Levi_JKT48,in,,0,0,0,https://x.com/Novaaa25_/status/1875554163637285084,1173900916795142144,Novaaa25_,kaga usah dahhhh
1875553814205624358,Sat Jan 04 14:45:33 +0000 2025,0,@Levi_JKT48 oke tak paham,1875554162693566648,,Levi_JKT48,in,,0,0,0,https://x.com/Paskah562289/status/1875554162693566648,1777689349989285888,Paskah562289,oke tak paham
1875553814205624358,Sat Jan 04 14:45:32 +0000 2025,0,@Levi_JKT48 simpen aja idemu itu lep....,1875554159971463292,,Levi_JKT48,in,,0,0,0,https://x.com/r4dityaal_/status/1875554159971463292,1642826994051317765,r4dityaal_,simpen aja idemu itu lep
1875553765702693212,Sat Jan 04 14:43:58 +0000 2025,0,ppp gi apa nich? @Moreen_JKT48,1875553765702693212,,,in,,0,0,0,https://x.com/Baaanyuuuu/status/1875553765702693212,1452212307174608896,Baaanyuuuu,ppp gi apa nich
1875529654062501984,Sat Jan 04 14:43:58 +0000 2025,0,@Nala_JKT48 Alone at last - amarah senyum Dan air mata,1875553765249724644,,Nala_JKT48,in,,0,0,0,https://x.com/IlhmFirdaus/status/1875553765249724644,1648678016032329728,IlhmFirdaus,Alone at last amarah senyum Dan air mata
1875552441338622265,Sat Jan 04 14:43:56 +0000 2025,0,@Levi_JKT48 min req lgi min gen 12 exe ,1875553756315840972,,Levi_JKT48,in,,0,0,0,https://x.com/pxmtva/status/1875553756315840972,1799263169053184000,pxmtva,min req lgi min gen 12 exe
1875197783227187349,Sat Jan 04 14:43:53 +0000 2025,0,@SNayla_JKT48 @Nala_JKT48 wkwkwk,1875553743577739314,,SNayla_JKT48,in,di rumah,0,0,0,https://x.com/Jnicecl/status/1875553743577739314,1554814498841583616,Jnicecl,wkwkwk
1875534619430547581,Sat Jan 04 14:43:51 +0000 2025,0,@Levi_JKT48 @AR_LanaJKT48 @CErine_JKT48 Dahlah ,1875553735260397871,,Levi_JKT48,in,,0,0,0,https://x.com/Salsabilatia4ol/status/1875553735260397871,1540360362075103233,Salsabilatia4ol,Dahlah
